id,views,likes,shares,duration,description,url
F-q1f5y-ntY,20,3,N/A,54,,https://www.youtube.com/shorts/F-q1f5y-ntY
W8hrtmBI5kE,67,2,N/A,25,,https://www.youtube.com/shorts/W8hrtmBI5kE
hb4mCMtO9lk,74,N/A,N/A,22,,https://www.youtube.com/shorts/hb4mCMtO9lk
uBl3ZllPQcI,36,N/A,N/A,12,,https://www.youtube.com/shorts/uBl3ZllPQcI
QQGPT79dNig,3,2,N/A,29,,https://www.youtube.com/shorts/QQGPT79dNig
JiBxCtkXJms,12,3,N/A,47,,https://www.youtube.com/shorts/JiBxCtkXJms
SeKgqaQWeH8,29,6,N/A,30,,https://www.youtube.com/shorts/SeKgqaQWeH8
g3iqpmGtg4A,27,N/A,N/A,22,,https://www.youtube.com/shorts/g3iqpmGtg4A
F9tgvwA9r-A,25,N/A,N/A,23,,https://www.youtube.com/shorts/F9tgvwA9r-A
kS9mP7xIOYM,22,2,N/A,14,,https://www.youtube.com/shorts/kS9mP7xIOYM
MkCe9_71fyI,2,N/A,N/A,58,#cod#codm#codmobile #gamers #pubgmobile #pubg#pubgindia#freefire #gaming#gameplay #gameplaywalkthrough#youtubegamer #livegaming #gamereview #livestream #gami...,https://www.youtube.com/shorts/MkCe9_71fyI
r2XopRYoVfY,40,2,N/A,27,,https://www.youtube.com/shorts/r2XopRYoVfY
04lEKpay7rQ,139,2,N/A,39,,https://www.youtube.com/shorts/04lEKpay7rQ
3-nmT5yBKXE,26,5,N/A,32,,https://www.youtube.com/shorts/3-nmT5yBKXE
LFqFyPwrijQ,1,N/A,N/A,37,,https://www.youtube.com/shorts/LFqFyPwrijQ
Rhy_wl5Rxf8,93,N/A,N/A,26,,https://www.youtube.com/shorts/Rhy_wl5Rxf8
StLzP-b8hiY,13,N/A,N/A,14,,https://www.youtube.com/shorts/StLzP-b8hiY
_RY7nddrMFQ,78,N/A,N/A,19,,https://www.youtube.com/shorts/_RY7nddrMFQ
1MGDOYjlbPc,16,4,N/A,11,"Watch this epic double kick stamp execution move in Call of Duty! Witness the incredible finishing move that will leave you in awe. Make sure to like, commen...",https://www.youtube.com/shorts/1MGDOYjlbPc
xO9h04BJxkM,32,3,N/A,14,Watch as Homelander unleashes his eye laser for a devastating execution in Call of Duty! Witness the sheer power and precision of this epic moment. Don’t for...,https://www.youtube.com/shorts/xO9h04BJxkM
cbzKyovYviY,48,4,N/A,13,"Experience the epic slow-motion headshot in Call of Duty! Watch as I deliver a precise and devastating shot in slow motion. Like, comment, and subscribe for ...",https://www.youtube.com/shorts/cbzKyovYviY
GyErQ3w3MfU,46,7,N/A,21,"Check out this savage head stamp execution in Call of Duty! Witness the intensity as I take down my enemy with this brutal move. Don't forget to like, commen...",https://www.youtube.com/shorts/GyErQ3w3MfU
H51-TumNryU,29,9,N/A,59,Watch as I execute a flawless ambush on enemy soldiers in Ghost Recon Breakpoint! This intense moment showcases the perfect blend of strategy and stealth. If...,https://www.youtube.com/shorts/H51-TumNryU
RmKr-dHN_b0,12,4,N/A,60,"Subscribe for more videos...👍Join Whatsapp Channel 👇https://whatsapp.com/channel/0029VaeRYOBLtOj8Adk6ki1n....Welcome to our gaming haven, where skill meets...",https://www.youtube.com/shorts/RmKr-dHN_b0
uLlOQD7bSqg,9,N/A,N/A,60,"Subscribe for more videos...👍Join Whatsapp Channel 👇https://whatsapp.com/channel/0029VaeRYOBLtOj8Adk6ki1n....Welcome to our gaming haven, where skill meets...",https://www.youtube.com/shorts/uLlOQD7bSqg
EFo9XWAmcl8,862,32,N/A,24,,https://www.youtube.com/shorts/EFo9XWAmcl8
8yt1gwvb_Cs,2493,N/A,N/A,30,,https://www.youtube.com/shorts/8yt1gwvb_Cs
D5hVT-zNtns,2363,N/A,N/A,43,,https://www.youtube.com/shorts/D5hVT-zNtns
k0190fsh_I0,19,2,N/A,12,,https://www.youtube.com/shorts/k0190fsh_I0
loV1rdbm2rA,81,3,N/A,12,,https://www.youtube.com/shorts/loV1rdbm2rA
BD9EW4ALltM,33,4,N/A,11,,https://www.youtube.com/shorts/BD9EW4ALltM
9ParbbJJilA,1760,59,N/A,41,Revenge💀 #bgmi #shorts #pubg,https://www.youtube.com/shorts/9ParbbJJilA
teBKwc0AhZ4,1928,N/A,N/A,37,,https://www.youtube.com/shorts/teBKwc0AhZ4
2BHUNLVnk_M,98,2,N/A,53,,https://www.youtube.com/shorts/2BHUNLVnk_M
07srmAJdEIE,166,5,N/A,11,,https://www.youtube.com/shorts/07srmAJdEIE
toH_f9Y-RpU,20,2,N/A,54,,https://www.youtube.com/shorts/toH_f9Y-RpU
1GXbmsXQZHE,229,7,N/A,21,clutch master😎#bgmi#pubg#shorts#youtubeshorts#pubgmobile#bgmishorts,https://www.youtube.com/shorts/1GXbmsXQZHE
kr_ExGEfSII,79,8,N/A,18,Quick 1vs3 😍#bgmi#pubg#shorts#youtubeshorts#pubgmobile,https://www.youtube.com/shorts/kr_ExGEfSII
FvoJNAf48cU,594,N/A,N/A,24,Dust 2 nades tips in Counter Strike 2#cs2 #csgo #counterstrike,https://www.youtube.com/shorts/FvoJNAf48cU
Jey4kQPY1E8,160,N/A,N/A,14,"The final battle of BetBoom Dacha 2024 will take place today, in which Team Spirit & Mouz will compete. Previously, the teams had already met within PGL CS2 ...",https://www.youtube.com/shorts/Jey4kQPY1E8
mGcT4V2u9zA,295,6,N/A,18,Counter strike.! #Shorts#Couterstrikeshorts#gameshorts#Ali#Counterstrike#counterstrikehighlight,https://www.youtube.com/shorts/mGcT4V2u9zA
FcWr1FzeBrE,569,14,N/A,8,#cs2 #csgo #gaming #ytshorts #pcgaming #fps #funny,https://www.youtube.com/shorts/FcWr1FzeBrE
gBocl2RE2DA,905,24,N/A,19,#csgo #counterstrike #counterstrike2 #gaming #ytshorts #ohnepixel,https://www.youtube.com/shorts/gBocl2RE2DA
Mw1acw6buv4,836,21,N/A,34,#counterstrike #csgo #gaming #pc #shroud #ytshorts,https://www.youtube.com/shorts/Mw1acw6buv4
xyVtTXUwGqw,531,9,N/A,21,Ancient Nades Lineups in Counter Strike 2#cs2 #cs2tips #cs2smokes #cs2nades,https://www.youtube.com/shorts/xyVtTXUwGqw
8zz4-ZvgzNg,5,2,N/A,27,#Ali,https://www.youtube.com/shorts/8zz4-ZvgzNg
PoiPMKbPRrs,62,2,N/A,26,Counter strike.! #Shorts#Couterstrikeshorts#gameshorts#Ali#Counterstrike#counterstrikehighlight,https://www.youtube.com/shorts/PoiPMKbPRrs
D-vZ8HGnRiI,13,2,N/A,35,Counter strike.! #Shorts#Couterstrikeshorts#gameshorts#Ali#Counterstrike#counterstrikehighlight,https://www.youtube.com/shorts/D-vZ8HGnRiI
WFn4fsouFC8,293,7,N/A,16,#counterstrike #gaming #pc #pcgaming,https://www.youtube.com/shorts/WFn4fsouFC8
u2Zou-MxdxA,12,2,N/A,34,Lol Headshot**Please support my channel by subscribing and sharing my videos. My Gaming Laptop:- [ ASUS TUF F15 ]CPU - I5 11400HGPU - RTX 3050 4GBRAM - 16GB ...,https://www.youtube.com/shorts/u2Zou-MxdxA
do1eMs4fHM4,97,6,N/A,10,,https://www.youtube.com/shorts/do1eMs4fHM4
_4q4d5XlN6o,82,N/A,N/A,9,,https://www.youtube.com/shorts/_4q4d5XlN6o
gO1BjHKTs_Y,126,3,N/A,5,,https://www.youtube.com/shorts/gO1BjHKTs_Y
