id,views,likes,shares,duration,description,url
7083657692828421382,378900,15800,356,28,An useful app to have! #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7083657692828421382
7078099370549267717,767900,74000,1175,25,"3 winners - 10,000 VP + a feature 😳 #valorant #valorantclips #llcchallenge",https://www.tiktok.com/@juicisushi/video/7078099370549267717
7076456830016228614,192500,23800,108,26,"Faking to be a clone is fun, when it works...  #valorant #valorantclips #llcchallenge",https://www.tiktok.com/@juicisushi/video/7076456830016228614
7054947671471230213,196600,22500,338,21,toxic and drawing when bottom frag 🤦‍♂️ #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7054947671471230213
7054580976659254533,120500,9926,59,40,Girl voice in Japan servers 😂 #valorant #valorantclips #valorantgaming #twitch,https://www.tiktok.com/@juicisushi/video/7054580976659254533
7054207969910705414,155100,22800,119,33,F in chat for Reyna 😭 #valorant #valorantclips #gamergirl #twitch,https://www.tiktok.com/@juicisushi/video/7054207969910705414
7053471833114430726,1400000,203000,705,39,girl voice stops the dodge #valorant #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7053471833114430726
7053259832333323526,565300,89500,322,25,10/10 heart drawing #valorant #twitch #valorantclips #valorantgaming,https://www.tiktok.com/@juicisushi/video/7053259832333323526
7285125083721452806,3100000,222500,589,60,GIANT CONNECTOR SMOKE ON MIRAGE #CS2 #COUNTERSTRIKE,https://www.tiktok.com/@goldcsnades/video/7285125083721452806
7275604289890897158,5100000,304700,931,61,THE BEST B SITE UTILITY #CS2 #COUNTERSTRIKE,https://www.tiktok.com/@goldcsnades/video/7275604289890897158
7274412739790032133,2400000,145900,641,61,BANANA ONE WAY SMOKE #CS2 #COUNTERSTRIKE,https://www.tiktok.com/@goldcsnades/video/7274412739790032133
7396936853884112133,153100,9840,26,60,ANTI PEEK SMOKE ON DUST 2 #CS2 #COUNTERSTRIKE ,https://www.tiktok.com/@goldcsnades/video/7396936853884112133
7396147592968604934,229500,14000,77,60,MIRAGE LOOKS DIFFERENT #CS2 #COUNTERSTRIKE ,https://www.tiktok.com/@goldcsnades/video/7396147592968604934
7395821645950192901,109600,5832,16,39,TRASH CAN SMOKES ON MIRAGE #CS2 #COUNTERSTRIKE ,https://www.tiktok.com/@goldcsnades/video/7395821645950192901
7392587688055999777,1000000,92700,263,20,"NEYMAR strikes again, this time in CS2 😆 #cs2 #fyp #counterstrike #cs2funny #cs2memes #cs2moments #neymar ",https://www.tiktok.com/@skinsmonkey_com/video/7392587688055999777
7392309355066035489,344800,27600,103,18,My typical teammate in CS2... 😆 #cs2 #fyp #counterstrike #cs2funny #cs2memes #cs2moments ,https://www.tiktok.com/@skinsmonkey_com/video/7392309355066035489
